Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","728","South Sudan","5110","Area","6620","Cropland","2018","2018","1000 ha","2477.7","I","Imputed value",""
"RL","Land Use","728","South Sudan","5110","Area","6620","Cropland","2019","2019","1000 ha","2477.7","A","Official figure",""
"RL","Land Use","728","South Sudan","5110","Area","6620","Cropland","2020","2020","1000 ha","2477.7","A","Official figure",""
"RL","Land Use","728","South Sudan","5110","Area","6620","Cropland","2021","2021","1000 ha","2479.7","I","Imputed value",""
"RL","Land Use","729","Sudan","5110","Area","6620","Cropland","2018","2018","1000 ha","21210.84","I","Imputed value",""
"RL","Land Use","729","Sudan","5110","Area","6620","Cropland","2019","2019","1000 ha","21210.84","I","Imputed value",""
"RL","Land Use","729","Sudan","5110","Area","6620","Cropland","2020","2020","1000 ha","21210.84","I","Imputed value",""
"RL","Land Use","729","Sudan","5110","Area","6620","Cropland","2021","2021","1000 ha","21210.84","I","Imputed value",""
"RL","Land Use","768","Togo","5110","Area","6620","Cropland","2018","2018","1000 ha","2820","I","Imputed value",""
"RL","Land Use","768","Togo","5110","Area","6620","Cropland","2019","2019","1000 ha","2820","I","Imputed value",""
"RL","Land Use","768","Togo","5110","Area","6620","Cropland","2020","2020","1000 ha","2820","I","Imputed value",""
"RL","Land Use","768","Togo","5110","Area","6620","Cropland","2021","2021","1000 ha","2820","I","Imputed value",""
"RL","Land Use","800","Uganda","5110","Area","6620","Cropland","2018","2018","1000 ha","9100","I","Imputed value",""
"RL","Land Use","800","Uganda","5110","Area","6620","Cropland","2019","2019","1000 ha","9100","I","Imputed value",""
"RL","Land Use","800","Uganda","5110","Area","6620","Cropland","2020","2020","1000 ha","9100","I","Imputed value",""
"RL","Land Use","800","Uganda","5110","Area","6620","Cropland","2021","2021","1000 ha","9100","I","Imputed value",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2018","2018","1000 ha","15097.4","I","Imputed value",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2019","2019","1000 ha","15309.7","I","Imputed value",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2020","2020","1000 ha","15521.2","I","Imputed value",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2021","2021","1000 ha","15521.2","I","Imputed value",""
"RL","Land Use","894","Zambia","5110","Area","6620","Cropland","2018","2018","1000 ha","3839","I","Imputed value",""
"RL","Land Use","894","Zambia","5110","Area","6620","Cropland","2019","2019","1000 ha","3839","I","Imputed value",""
"RL","Land Use","894","Zambia","5110","Area","6620","Cropland","2020","2020","1000 ha","3839","I","Imputed value",""
"RL","Land Use","894","Zambia","5110","Area","6620","Cropland","2021","2021","1000 ha","3839","I","Imputed value",""
"RL","Land Use","716","Zimbabwe","5110","Area","6620","Cropland","2018","2018","1000 ha","4100","I","Imputed value",""
"RL","Land Use","716","Zimbabwe","5110","Area","6620","Cropland","2019","2019","1000 ha","4100","I","Imputed value",""
"RL","Land Use","716","Zimbabwe","5110","Area","6620","Cropland","2020","2020","1000 ha","4100","I","Imputed value",""
"RL","Land Use","716","Zimbabwe","5110","Area","6620","Cropland","2021","2021","1000 ha","4100","I","Imputed value",""
