,dataset,country,crop_f1,accuracy,crop_support,noncrop_support,crop_recall,noncrop_recall,crop_precision,noncrop_precision,tn,fp,fn,tp
Togo,copernicus,Togo,0.59,0.79,51,131,0.55,0.88,0.64,0.83,115,16,23,28
Togo,worldcover,Togo,0.7,0.86,51,131,0.57,0.98,0.91,0.85,128,3,22,29
Togo,glad,Togo,0.71,0.86,51,131,0.59,0.97,0.88,0.86,127,4,21,30
Togo,asap,Togo,0.45,0.64,51,131,0.53,0.68,0.39,0.79,89,42,24,27
Togo,dynamicworld,Togo,0.21,0.75,51,131,0.12,0.99,0.86,0.74,130,1,45,6
Togo,gfsad-gcep,Togo,0.62,0.78,51,131,0.63,0.84,0.6,0.85,110,21,19,32
Togo,gfsad-lgrip,Togo,0.59,0.77,51,131,0.59,0.84,0.59,0.84,110,21,21,30
Togo,digital-earth-africa,Togo,0.62,0.83,51,131,0.49,0.96,0.83,0.83,126,5,26,25
Togo,esa-cci-africa,Togo,0.58,0.78,51,131,0.55,0.87,0.62,0.83,114,17,23,28
Togo,globcover-v23,Togo,0.43,0.74,51,131,0.35,0.89,0.56,0.78,117,14,33,18
